Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
07-12-2014,"2,477","8,273",4.96,0,608,127,100,20,"1,015"
08-12-2014,"2,346","7,542",4.53,0,799,63,50,43,770
09-12-2014,"2,204","5,250",3.15,0,800,63,65,17,617
10-12-2014,"2,434","8,207",4.92,0,766,102,63,39,918
11-12-2014,"2,392","7,194",4.32,0,808,115,93,8,885
12-12-2014,"2,439","7,765",4.66,0,791,109,90,24,934
13-12-2014,"1,922","1,520",0.91,0,877,77,12,0,299
14-12-2014,"2,267","6,134",3.68,0,756,93,72,15,744
15-12-2014,"2,226","4,528",2.72,0,831,116,56,7,666
16-12-2014,"2,356","6,668",4,0,800,96,92,12,816
17-12-2014,"2,358","7,594",4.56,0,931,75,58,41,810
18-12-2014,"2,329","7,205",4.32,0,"1,136",74,50,39,765
19-12-2014,"2,230","5,197",3.12,0,944,85,68,8,651
20-12-2014,"2,309","7,137",4.28,0,771,71,95,11,778
21-12-2014,"2,566","11,009",6.61,0,652,70,106,45,"1,084"
22-12-2014,"2,716","12,126",7.28,0,728,118,116,52,"1,303"
23-12-2014,"2,477","8,245",4.95,0,676,124,129,2,"1,020"
24-12-2014,"2,596","10,274",6.16,0,839,122,104,36,"1,156"
25-12-2014,"2,498","7,278",4.37,0,736,186,94,7,"1,068"
26-12-2014,"2,303","5,495",3.3,0,900,116,86,3,772
27-12-2014,"2,677","10,945",6.57,0,"1,155",144,122,19,"1,241"
28-12-2014,"2,936","16,578",9.95,0,"1,012",67,199,38,"1,549"
29-12-2014,"2,684","11,460",6.88,0,492,119,169,9,"1,274"
30-12-2014,"2,975","15,549",9.33,0,581,138,171,41,"1,622"
31-12-2014,"3,338","11,746",7.05,0,932,98,62,62,"1,072"
01-01-2015,"2,276","6,357",3.81,0,780,81,30,39,700
02-01-2015,"2,462","7,392",4.44,0,"1,188",148,90,14,987
03-01-2015,"2,925","14,285",8.57,0,"1,095",155,135,55,"1,563"
04-01-2015,"2,588","10,480",6.29,0,"1,212",105,58,65,"1,098"
05-01-2015,"2,716","11,512",6.91,0,992,145,117,35,"1,302"
06-01-2015,"3,265","19,819",11.89,0,529,154,203,62,"2,004"
07-01-2015,"2,855","13,881",8.33,0,498,135,134,50,"1,474"
08-01-2015,"2,553","9,243",5.55,0,706,128,115,15,"1,083"
09-01-2015,"2,990","15,770",9.46,0,587,133,203,31,"1,666"
10-01-2015,"2,925","15,779",9.47,0,648,107,176,40,"1,567"
11-01-2015,"2,885","15,268",9.16,0,"1,038",97,156,55,"1,501"
